French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
attention,Warning
affaire,case
donner,give
type,type
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
pardon,sorry
devant,in front of
demandé,request
chambre,bedroom
belle,beautiful
aujourd'hui,today
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
compte,account
donne,given
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
